18,64,137,54.279,140.969,52.647,66,260,1054,195.293,573.879,403.636
24,86,176,59.615,158.87,65.69,74,324,1276,184.191,595.772,475.079
7,24,54,64.795,177.938,61.535,19,86,452,174.09,638.077,515.779
25,94,216,51.009,168.248,61.86,79,356,1909,161.87,640.565,546.79
34,134,287,65.844,198.341,68.437,112,478,2690,218.073,707.125,642.12
54,191,385,60.237,172.448,60.76,164,733,3487,182.149,660.801,550.999
30,121,220,67.087,205.74,68.953,82,406,1938,185.624,690.293,608.333
10,47,92,40.312,134.545,53.524,35,177,643,137.503,507.433,373.632
35,125,264,70.962,193.884,73.638,99,410,1841,201.995,637.907,513.631
8,24,44,103.923,224.345,74.478,18,76,339,229.97,714.956,576.243
12,47,74,81.821,222.919,69.239,30,149,611,200.955,711.813,573.19
13,41,99,66.876,180.282,68.791,33,129,711,174.098,562.625,494.352
7,28,50,62.258,207.036,59.231,25,99,532,215.67,733.647,633.014
41,125,298,55.589,152.665,53.259,138,521,3147,188.221,637.892,562.411
14,46,91,80.395,210.921,79.368,36,130,560,203.31,596.785,490.229
86,323,661,54.891,157.617,53.577,299,1313,6910,190.07,641.408,559.801
32,124,255,44.956,139.356,48.322,105,482,2214,149.474,542.5,419.666
5,23,28,91.496,272.941,71.286,12,63,238,233.857,756.124,607.165
55,215,420,56.105,171.993,58.115,170,795,3901,172.421,635.106,539.708
20,72,120,68.094,173.486,55.878,52,246,919,173.96,591.356,428.716
19,72,155,65.41,184.138,67.558,56,262,1313,187.788,667.726,571.727
58,251,475,56.337,190.684,59.205,184,856,4379,177.508,650.398,545.43
6,28,53,68.887,218.302,76.816,18,94,437,202.576,736.924,632.518
19,81,183,51.969,175.124,70.508,51,273,1168,144.041,591.945,450.438
7,23,35,96.749,242.474,74.805,16,67,276,233.748,722.977,593.387
22,86,199,46.901,135.719,53.096,67,322,1438,140.84,505.983,384.253
113,405,774,55.423,157.064,59.61,340,1430,6465,166.871,554.831,497.565
11,41,64,46.687,115.67,51.48,26,124,387,112.817,348.467,310.155
3,14,25,64.629,201.045,60.237,11,50,248,199.495,711.052,608.065
33,136,263,53.556,179.704,57.001,97,487,2425,157.544,642.833,525.515
34,128,263,65.355,189.428,67.597,95,418,2368,180.663,618.951,608.745
9,35,68,65.779,176.853,56.703,22,106,437,157.804,545.344,362.068
42,156,321,87.158,246.133,92.696,117,478,2243,244.43,754.55,648.199
3,13,23,78.575,210.405,73.712,8,41,167,183.171,670.464,530.497
21,64,161,54.66,126.724,56.095,61,266,1254,159.748,526.256,436.939
4,12,23,59.821,160.979,61.099,10,42,208,146.72,574.423,557.079
36,114,273,70.835,177.724,76.944,92,395,2120,180.065,612.674,597.332
12,48,90,51.152,156.275,52.273,38,165,697,164.473,532.127,403.149
200,665,1395,60.806,167.423,63.854,533,2187,11879,162.028,550.198,543.667
29,105,214,74.487,207.018,74.576,81,351,1805,205.158,692.976,629.929
19,76,152,63.069,220.397,67.067,63,246,1474,209.427,714.419,650.695
3,17,28,50.043,185.58,52.84,11,58,276,164.13,632.011,515.899
1,12,32,39.544,186.946,87.97,4,45,222,127.021,689.295,608.994
81,291,802,57.603,169.437,69.583,239,1008,6382,170.062,585.913,553.466
33,118,278,43.069,118.655,51.321,113,517,2537,145.233,521.632,468.776
5,22,43,53.72,175.057,53.803,14,71,396,137.357,577.742,496.298
9,28,52,70.543,163.435,61.881,20,93,417,158.793,538.017,495.32
64,281,530,57.95,199.546,66.997,190,917,4537,172.415,652.046,573.549
33,130,241,59.268,182.568,62.555,94,435,2025,171.187,613.369,525.01
18,82,117,74.78,233.034,62.273,44,245,1060,182.66,692.791,562.753
18,67,113,76.12,205.527,67.643,45,214,898,194.527,653.495,536.751
20,64,149,60.96,141.565,56.174,57,252,1155,170.141,555.995,436.563
20,78,180,50.925,142.055,66.399,70,321,1318,175.912,588.008,486.077
7,23,53,67.226,165.684,59.398,21,88,473,191.361,640.062,535.076
25,87,202,50.499,151.306,57.379,77,360,1991,157.054,628.77,566.88
27,131,269,53.238,194.175,64.261,98,478,2625,191.13,706,627.074
51,210,399,55.67,188.878,62.844,155,737,3645,170.886,663.014,573.559
27,117,230,61.026,195.951,71.372,84,416,2093,191.804,697.072,649.88
11,47,97,44.827,134.969,55.685,39,171,679,154.336,490.363,388.664
34,137,256,70.381,209.482,70.287,97,429,1807,199.586,656.337,497.062
7,28,43,90.116,256.035,72.052,16,77,357,212.242,704.309,594.358
11,50,75,74.737,236.273,69.911,28,150,621,186.29,712.998,576.103
13,47,102,62.274,196.778,68.648,33,137,761,165.562,573.268,509.487
7,29,50,60.425,211.856,58.386,21,98,531,180.916,718.355,625.445
42,129,297,56.837,155.12,52.9,140,520,3255,187.698,624.097,580.608
12,42,81,66.533,186.735,69.279,31,128,595,180.885,571.488,509.422
85,348,671,53.77,169.526,54.2,297,1298,7037,187.494,632.971,568.822
38,132,316,52.926,146.615,58.665,107,498,2447,149.213,554.78,454.892
4,20,28,82.281,241.854,70.261,10,62,244,200.367,745.569,611.49
53,227,410,54.052,180.513,56.403,160,801,3885,163.662,637.076,534.861
18,78,131,62.46,185.528,60.386,51,233,938,174.139,555.151,431.921
19,71,144,63.066,179.445,61.891,55,254,1404,183.217,641.294,602.206
58,252,478,56.476,190.262,59.258,173,858,4477,166.85,648.453,555.515
5,25,45,58.854,199.872,64.421,17,92,437,197.872,730.46,632.546
17,63,190,46.099,136.047,71.978,49,245,1196,136.722,527.928,452.429
5,21,33,81.467,225.915,68.935,15,68,295,220.283,723.589,624.518
23,95,210,48.131,148.268,55.36,68,354,1587,143.426,551.061,417.646
108,428,851,52.479,162.777,64.124,347,1515,6864,169.129,576.487,517.347
12,51,75,52.263,141.518,57.142,27,125,415,120.789,349.123,318.218
3,16,27,64.29,227.127,65.506,10,51,257,186.31,714.039,622.632
31,141,276,50.115,182.715,58.935,87,497,2531,139.308,641.648,540.749
30,130,268,57.419,187.837,67.688,83,435,2403,157.84,628.51,607.444
9,35,64,64.939,181.79,52.817,23,104,429,164.745,538.26,353.272
38,154,277,80.494,241.206,79.019,107,484,2420,225.888,757.173,691.066
3,13,24,80.965,203.07,74.252,8,41,176,191.671,666.71,548.405
19,66,160,49.386,130.609,55.082,61,269,1274,159.487,534.311,439.526
4,13,24,59.613,169.716,62.492,10,43,221,148.154,580.497,578.911
30,110,256,56.86,166.512,68.985,90,400,2156,172.42,605.831,582.075
15,55,112,65.796,180.675,63.614,41,166,774,176.092,540.685,441.027
182,710,1539,55.341,173.875,69.786,487,2375,11972,147.934,581.314,543.031
27,107,216,68.639,208.385,73.441,71,353,1828,181.84,687.396,621.987
18,80,152,60.452,228.674,66.947,60,251,1467,201.099,718.179,645.445
3,15,29,49.046,158.965,53.309,11,59,293,161.926,635.021,540.402
1,14,32,35.282,200.386,85.609,5,52,231,136.044,723.25,626.065
73,295,756,51.716,167.073,63.969,234,1035,6727,166.459,586.429,569.127
36,142,322,44.968,140.957,57.497,115,535,2675,143.651,531.554,477.255
5,22,48,46.963,172.613,59.25,13,72,397,131.509,581.304,492.715
9,31,56,71.718,178.838,63.919,21,88,435,161.244,512.232,500.358
62,268,479,56.168,188.643,60.089,189,922,4403,171.324,648.097,552.734
28,136,233,50.42,192.973,59.443,81,433,2032,148.633,616.211,519.266
20,77,128,80.012,221.572,67.897,45,234,1040,183.902,670.093,551.174
17,63,111,72.943,194.592,65.726,45,218,933,192.13,670.488,553.812
20,65,133,57.922,146.464,49.683,54,245,1167,158.866,553.492,436.252
17,73,165,43.452,139.933,61.899,67,303,1378,173.685,577.967,517.197
6,24,53,59.719,177.747,59.682,20,89,510,189.42,666.888,572.618
25,97,198,50.319,165.98,55.978,75,367,2015,152.849,629.604,568.285
28,134,276,54.994,193.844,65.829,90,488,2545,175.309,702.722,607.831
47,227,423,52.68,205.36,66.302,148,758,3806,164.244,685.788,596.636
29,125,241,66.352,211.419,74.093,81,427,2130,185.824,719.822,655.4
11,48,94,44.346,140.389,53.196,37,160,674,142.269,471.601,383.249
31,146,246,64.16,224.344,67.067,86,426,1901,175.622,656.774,517.673
8,29,49,106.066,269.725,81.488,17,76,356,214.718,704.401,588.482
11,50,81,70.857,237.467,74.566,28,149,606,189.266,707.531,558.761
13,44,108,63.645,178.843,69.457,33,148,861,160.847,603.183,554.939
7,30,53,63.811,218.101,61.585,21,97,556,183.55,710.255,646.228
40,132,289,53.627,156.682,51.198,144,562,3385,194.446,666.188,600.204
11,39,79,64.16,173.356,66.941,30,132,566,170.256,580.682,478.725
84,352,689,52.898,166.938,55.641,306,1353,7142,192.407,642.43,576.736
35,130,303,48.101,144.741,55.02,105,492,2515,144.721,546.164,456.08
4,19,27,81.768,230.191,67.423,10,62,237,196.57,733.371,600.394
52,237,450,53.108,189.591,61.7,169,826,3916,172.436,660.751,537.245
15,69,130,50.287,165.495,59.351,46,222,943,157.179,534.364,431.303
19,64,128,62.206,163.041,53.531,54,240,1383,183.095,607.879,580.184
53,235,434,51.721,177.435,53.707,171,847,4453,165.537,638.632,550.53
5,24,48,53.542,191.059,69.484,18,93,442,204.052,742.473,642.259
16,69,169,45.149,149.869,62.722,52,254,1287,143.382,549.096,477.028
5,22,37,69.374,239.194,77.911,12,69,292,186.529,738.634,612.671
24,105,209,48.427,164.804,54.344,68,348,1689,139.366,549.113,438.654
104,429,926,49.852,160.544,68.005,345,1591,7164,165.523,594.922,525.948
12,55,77,50.726,150.86,57.059,26,134,466,113.085,367.721,344.002
3,17,27,65.54,234.449,65.733,11,52,262,203.969,730.492,632.21
31,136,275,49.531,173.272,57.61,94,478,2621,151.255,611.249,549.707
31,120,257,58.595,175.177,63.56,91,453,2321,171.309,659.278,574.694
7,32,60,53.86,168.598,49.19,23,101,440,165.779,538.376,360.391
29,140,230,60.742,221.429,65.026,92,453,2377,194.971,716.526,673.411
3,13,23,76.436,217.239,71.655,9,43,190,202.133,705.542,586.106
19,65,156,48.496,130.18,53.316,58,261,1205,149.648,522.224,412.686
4,13,24,59.415,176.945,61.871,10,46,232,151.618,614.515,586.544
26,104,241,49.593,155.235,62.496,88,390,2127,165.876,584.966,552.038
17,56,117,70.434,189.391,65.817,40,164,808,169.973,550.467,454.109
186,717,1526,57.343,170.077,68.528,505,2478,11703,155.357,587.773,525.363
28,115,229,72.791,222.492,75.501,70,357,1933,179.943,690.083,638.275
21,76,149,69.162,216.509,65.715,57,254,1501,193.489,720.749,660.502
3,14,30,43.679,150.188,54.986,11,60,311,157.286,650.733,568.141
1,16,32,35.9,196.714,85.072,5,58,229,140.71,705.022,605.132
69,281,720,49.641,158.209,59.796,233,1052,6732,167.877,591.57,559.122
35,141,332,42.581,140.672,57.682,118,536,2865,142.974,535.289,497.36
6,24,61,59.309,189.226,73.98,14,77,410,140.983,612.007,500.62
9,30,55,65.886,181.967,61.131,19,85,398,141.979,513.853,445.774
64,269,535,58.106,187.763,66.82,179,935,4437,163.986,652.063,553.842
27,119,233,49.517,172.042,58.849,80,421,2098,149.127,610.039,528.753
18,70,140,72.165,203.32,74.413,43,227,1035,171.487,660.425,549.697
16,65,111,69.977,200.433,65.603,42,214,925,179.887,665.238,546.006
17,65,136,48.529,150.53,50.236,55,250,1146,160.976,580.822,422.685
17,74,167,44.454,146.334,64.296,62,303,1380,167.811,598.891,529.941
6,25,54,57.233,195.333,60.716,19,85,493,176.279,664.677,550.637
25,110,226,52.065,186.554,63.35,75,388,2035,156.396,658.853,569.768
30,147,306,59.683,204.598,72.748,95,516,2657,185.171,720.181,632.406
