State,Year,Population.26+,Totals.Alcohol.Use Disorder Past Year.26+,Rates.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Past Month.26+,Rates.Alcohol.Use Past Month.26+,Totals.Tobacco.Cigarette Past Month.26+,Rates.Tobacco.Cigarette Past Month.26+,Totals.Illicit Drugs.Cocaine Used Past Year.26+,Rates.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Marijuana.New Users.12-17,Rates.Marijuana.New Users.12-17,Totals.Marijuana.Used Past Month.26+,Rates.Marijuana.Used Past Month.26+,Totals.Marijuana.Used Past Year.26+,Rates.Marijuana.Used Past Year.26+,Totals.Tobacco.Use Past Month.26+,Rates.Tobacco.Use Past Month.26+
New York,2005,12383739,689,52.898,7142,576.736,2947,237.953,273,14.812,79,56.922,595,48.078,1048,84.601,3333,269.183
North Carolina,2005,5515308,303,48.101,2515,456.08,1435,260.207,94,14.479,33,51.877,209,37.976,369,66.877,1721,312.097
North Dakota,2005,394935,27,81.768,237,600.394,93,236.728,3,15.551,2,45.088,11,28.588,17,41.931,115,292.033
Ohio,2005,7288639,450,53.108,3916,537.245,2031,278.661,129,15.032,50,57.238,307,42.052,522,71.623,2418,331.802
Oklahoma,2005,2187319,130,50.287,943,431.303,684,312.536,28,15.513,14,52.582,80,36.467,125,57.006,808,369.228
Oregon,2005,2383671,128,62.206,1383,580.184,522,218.79,28,18.931,17,71.246,144,60.349,225,94.477,623,261.474
Pennsylvania,2005,8088579,434,51.721,4453,550.53,2073,256.28,128,14.437,53,58.594,324,40.015,579,71.524,2483,307.006
Rhode Island,2005,687555,48,53.542,442,642.259,162,235.866,18,19.067,5,71.411,41,59.606,69,100.123,192,279.618
South Carolina,2005,2698757,169,45.149,1287,477.028,806,298.717,46,12.423,18,54.191,98,36.232,152,56.468,921,341.183
South Dakota,2005,477378,37,69.374,292,612.671,120,251.384,5,16.412,3,51.103,16,34.032,25,52.505,150,314.86
Tennessee,2005,3851545,209,48.427,1689,438.654,1224,317.78,80,15.095,24,57.223,165,42.875,283,73.44,1479,383.984
Texas,2005,13620520,926,49.852,7164,525.948,3496,256.656,222,20.579,94,51.67,361,26.475,705,51.736,4238,311.139
Utah,2005,1353274,77,50.726,466,344.002,253,186.962,21,18.8,10,39.364,37,27.219,66,48.814,294,217.431
Vermont,2005,414171,27,65.54,262,632.21,96,230.931,8,19.586,3,77.52,28,66.909,45,108.304,116,279.866
Virginia,2005,4767472,275,49.531,2621,549.707,1143,239.742,79,15.146,31,56.091,178,37.381,264,55.286,1347,282.44
Washington,2005,4037966,257,58.595,2321,574.694,910,225.32,61,17.89,26,56.818,249,61.739,342,84.695,1087,269.124
West Virginia,2005,1219878,60,53.86,440,360.391,397,325.528,20,20.495,6,53.668,49,39.979,70,57.219,499,409.418
Wisconsin,2005,3530390,230,60.742,2377,673.411,957,270.966,39,16.476,24,57.341,129,36.471,226,63.886,1138,322.384
Wyoming,2005,324179,23,76.436,190,586.106,86,264.547,4,17.891,2,65.907,15,47.267,23,71.688,108,333.04
