11,8,2,55.108,46.945,1.601,18,45,63,78.314,144.019,36.164,32,81,106,136.982,260.822,61.066
164,126,21,57.477,57.879,1.635,247,643,1061,74.991,161.887,48.548,458,1102,1762,139.219,277.279,80.63
24,14,3,74.678,65.646,2.374,36,106,141,92.432,209.658,49.365,65,165,237,165.631,326.038,82.596
19,12,2,79.91,76.5,2.093,27,82,112,88.786,237.435,49.532,55,130,212,185.46,377.648,93.432
4,3,1,68.35,80.152,1.832,5,19,19,72.388,201.966,36.341,10,28,37,142.325,308.68,68.743
2,2,0,61.086,73.069,2.111,2,12,19,68.732,187.51,52.5,5,22,41,143.749,338.518,113.864
73,49,10,60.007,56.774,1.439,102,309,452,72.884,179.681,39.199,203,506,766,144.831,294.128,66.445
35,32,6,50.271,59.222,1.885,47,144,213,60.679,145.383,39.364,94,249,346,121.155,251.866,63.909
5,4,1,62.499,66.521,1.897,8,21,35,76.051,166.669,43.639,14,36,62,144.054,289.861,77.956
6,5,1,55.463,61.413,2.4,8,22,28,62.41,128.033,32.856,16,44,48,128.142,254.394,56.471
58,47,8,59.355,65.868,1.772,70,224,287,63.461,159.448,36.338,147,381,512,133.622,271.08,64.735
29,21,4,61.418,59.019,2.009,36,102,125,65.375,143.653,32.385,73,196,224,132.126,275.981,58.063
11,12,2,48.695,61.438,1.787,14,41,50,59.806,116.811,26.39,26,80,93,108.46,226.411,49.328
12,11,2,57.027,67.764,2.235,16,45,57,67.931,138.761,33.846,33,84,110,141.515,255.373,65.913
17,13,3,59.068,53.165,1.93,26,66,118,77.336,146.774,44.524,44,110,184,130.061,241.964,69.633
19,17,3,52.294,61.209,1.659,23,80,99,57.55,147.423,36.523,45,134,161,113.924,245.353,59.252
6,5,1,74.833,89.657,2.076,13,34,50,122.692,245.915,56.045,20,50,72,183.738,367.513,81.546
26,19,3,61.242,65.253,1.716,34,79,120,68.759,138.594,34.192,71,162,231,144.929,283.629,65.879
26,24,5,63.198,79.689,2.271,49,168,190,94.944,248.787,45.276,85,256,332,166.698,377.919,79.325
49,38,7,62.168,75.685,2.024,68,207,287,74.94,185.745,45.143,131,360,511,144.362,324.08,80.416
23,20,4,60.53,66.855,2.247,34,100,163,78.223,167.382,50.562,66,168,261,151.591,281.315,80.936
11,11,2,47.433,52.998,1.39,15,40,58,57.937,115.524,32.954,28,71,95,109.66,204.284,54.407
25,21,4,59.048,67.024,2.005,37,97,131,75.349,148.988,35.952,73,177,257,149.672,269.965,70.685
5,4,1,76.86,83.092,2.094,7,23,34,94.964,210.53,56.534,14,39,54,183.428,353.677,89.425
7,7,1,49.989,61.187,1.856,9,31,32,58.813,147.327,30.151,17,49,64,115.68,230.84,59.646
11,5,2,63.256,45.819,1.961,14,39,65,69.756,160.589,43.769,30,66,106,147.089,275.722,70.998
6,5,1,59.008,100.907,2.243,10,32,42,85.894,235.917,49.026,17,50,73,145.978,362.003,85.406
35,27,5,52.565,62.298,1.597,48,133,186,64.651,160.273,33.165,94,237,339,125.481,284.354,60.513
10,6,1,78.306,61.646,1.7,16,40,49,91.131,177.055,41.586,30,63,80,172.106,280.001,68.893
79,66,13,57.342,65.307,1.782,133,428,601,83.994,209.001,48.544,232,663,1022,146.465,323.397,82.578
33,26,8,53.132,56.517,1.927,56,135,204,78.243,150.217,37.955,96,244,357,134.759,271.714,66.451
3,3,0,53.455,66.968,1.688,3,9,13,58.15,112.714,32.115,6,20,20,123.193,235.993,49.425
