0,3,3,9.923,45.034,8.654
3,13,32,6.677,24.98,10.345
1,4,5,8.866,46.093,11.136
5,34,55,10.239,48.433,13.74
2,9,16,8.564,27.662,8.879
42,243,292,13.138,55.587,12.512
5,47,46,11.871,85.651,14.468
3,23,31,9.611,64.114,13.215
1,5,7,8.543,48.759,12.797
0,4,11,3.167,44.609,27.064
12,101,146,8.33,52.005,11.516
5,27,66,6.148,25.166,10.995
1,5,10,8.201,39.569,11.008
1,5,8,8.391,28.643,8.228
10,65,114,9.02,46.91,13.985
4,22,36,7.764,29.761,8.89
2,12,15,8.88,33.482,7.723
2,13,20,10.001,39.92,11.27
3,16,29,8.733,34.713,10.3
2,16,34,6.597,30.012,12.159
1,8,11,9.414,60.046,11.964
3,24,45,6.39,38.386,12.029
5,47,61,10.236,61.969,14.042
7,44,76,9.041,40.352,11.922
3,22,32,7.879,38.295,9.275
2,7,21,6.827,21.418,11.339
4,25,41,8.873,37.703,10.83
1,5,6,10.591,43.654,9.15
1,8,11,9.84,40.295,9.511
2,15,22,11.094,51.862,12.548
1,10,10,10.196,74.522,11.603
6,51,83,8.816,59.2,14.368
2,14,20,13.751,61.253,15.404
12,112,184,8.258,50.015,14.524
7,41,77,8.83,40.842,12.63
0,2,3,7.4,25.806,7.091
8,48,83,8.306,38.831,11.185
3,15,24,9.106,35.876,10.354
4,28,34,12.412,68.473,13.224
8,66,104,7.979,46.954,12.443
1,9,11,9.914,71.15,16.366
2,15,40,6.71,30.348,13.402
1,2,4,8.017,26.837,7.727
4,22,46,8.02,32.539,11.178
26,122,156,11.561,42.603,10.258
2,14,17,9.231,37.474,10.782
1,6,5,12.769,89.815,13.014
5,37,52,7.891,42.278,10.148
5,42,55,10.116,57.572,12.549
1,9,14,10.672,48.441,11.149
4,30,37,8.804,49.097,10.156
0,3,3,8.336,40.105,8.843
3,14,31,6.692,26.832,10.054
1,4,5,8.824,49.826,12.387
5,40,62,9.982,56.627,15.236
2,10,20,7.373,32.248,10.98
34,256,305,10.839,57.8,12.885
4,49,49,10.894,88.32,14.853
2,25,31,8.483,67.069,13.125
1,5,9,7.44,52.702,14.391
0,5,11,3.355,48.809,27.791
9,104,165,6.551,53.104,12.767
