Totals.Tobacco.Cigarette Past Month.12-17,Totals.Tobacco.Cigarette Past Month.18-25,Totals.Tobacco.Cigarette Past Month.26+,Rates.Tobacco.Cigarette Past Month.12-17,Rates.Tobacco.Cigarette Past Month.18-25,Rates.Tobacco.Cigarette Past Month.26+,Totals.Tobacco.Use Past Month.12-17,Totals.Tobacco.Use Past Month.18-25,Totals.Tobacco.Use Past Month.26+,Rates.Tobacco.Use Past Month.12-17,Rates.Tobacco.Use Past Month.18-25,Rates.Tobacco.Use Past Month.26+
38,219,751,98.73,421.769,242.225,55,250,905,141.317,480.944,292.181
26,132,481,89.979,370.585,211.893,33,153,583,113.99,428.126,256.692
7,37,145,96.731,400.869,261.513,9,41,168,124.64,438.82,302.888
3,29,104,68.781,343.76,272.663,3,32,113,93.45,374.698,295.641
125,614,2937,91.265,345.64,241.548,156,718,3501,113.668,403.789,287.911
81,368,1556,98.056,368.303,264.838,110,421,1884,133.551,421.706,320.698
7,46,175,69.232,358.267,211.395,10,50,194,99.676,388.492,233.917
12,54,196,87.93,331.056,214.306,14,62,230,108.867,378.333,251.168
111,563,1994,102.632,390.002,247.83,140,639,2356,128.974,442.677,292.811
64,286,1084,120.002,421.343,271.039,81,321,1313,151.512,474.061,328.068
25,118,445,103.822,347.634,234.659,31,141,542,126.639,414.902,286.175
26,135,410,110.385,421.064,240.026,31,158,501,132.919,493.013,293.339
49,200,879,143.882,470.589,320.246,61,231,1055,179.955,543.179,384.454
35,183,718,94.974,356.218,270.957,43,213,831,116.491,415.407,313.749
11,54,231,109.744,426.996,257.413,13,58,266,127.783,463.145,296.023
37,190,755,78.045,318.04,210.609,44,220,902,93.768,367.489,251.833
40,230,815,78.29,314.01,193.188,55,288,987,108.219,392.473,233.999
91,431,1608,104.282,396.636,251.013,114,497,1923,131.012,457.2,300.221
48,248,791,110.71,430.431,238.93,59,284,948,137.936,492.201,286.483
23,117,454,90.59,354.213,257.531,29,138,568,112.577,419.126,321.607
56,249,1020,113.996,398.416,272.726,68,293,1219,139.692,470.345,325.987
8,40,138,108.39,382.457,222.879,12,51,181,156.008,487.707,291.121
15,78,263,104.481,374.288,240.626,20,91,310,133.786,438.059,283.327
21,85,452,99.518,350.407,274.436,25,97,501,116.951,402.207,304.152
10,48,190,94.652,365.324,217.812,14,57,228,123.807,428.122,261.073
52,288,1270,73.407,334.917,224.706,69,318,1457,96.025,370.72,257.758
18,86,261,105.103,382.563,214.561,22,99,311,131.062,438.541,255.555
129,740,2595,82.977,333.566,207.612,163,852,2959,104.421,384.183,236.729
80,361,1538,109.907,389.707,265.907,99,408,1841,135.932,440.532,318.422
6,36,91,115.58,403.49,233.32,7,44,109,147.138,495.261,279.043
109,523,2045,113.71,432.542,278.235,142,618,2465,148.173,510.338,335.342
36,165,603,121.896,402.934,270.576,43,190,737,144.86,465.428,330.73
28,133,611,95.315,345.722,246.738,43,162,737,145.044,422.054,297.45
118,507,2069,117.816,382.212,254.899,144,596,2484,144.476,449.291,306.017
8,50,162,97.888,396.611,237.67,10,59,187,125.743,464.282,275.174
36,181,774,100.955,392.615,274.741,44,205,905,121.943,445.897,321.258
8,37,116,116.71,404.974,233.625,10,45,143,147.2,499.897,288.244
56,239,1150,112.206,387.548,287.805,69,282,1370,138.09,456.72,342.951
185,913,3365,87.819,337.724,236.037,222,1049,4020,105.207,388.092,281.951
15,81,225,58.642,217.66,154.475,19,90,263,75.149,240.09,180.29
5,26,89,104.387,387.882,212.653,7,31,116,147.428,462.108,277.166
62,290,1112,100.756,353.523,228.205,72,330,1302,117.242,402.61,267.094
50,233,943,93.897,346.738,224.561,67,274,1113,126.593,406.356,264.983
17,82,347,130.085,460.501,283.678,23,94,448,167.881,532.954,366.06
54,260,967,118.115,423.756,268.568,66,286,1130,143.788,465.526,313.78
6,25,88,130.109,416.555,265.556,8,30,115,196.157,514.433,344.766
39,193,803,104.036,381.565,269.786,50,230,991,132.611,454.119,333.293
6,30,97,93.686,382.613,237.75,8,34,118,134.585,446.01,289.141
47,227,885,86.996,330.738,218.494,55,273,1028,101.689,397.977,253.876
28,127,556,120.497,428.257,305.567,35,141,651,149.864,477.364,358.094
222,1281,4292,70.498,295.762,190.17,298,1488,5063,94.674,343.718,224.347
37,192,679,96.879,364.183,215.191,51,230,831,133.007,436.718,263.655
25,133,471,86.717,365.131,206.873,32,151,560,110.102,414.921,245.757
7,37,140,97.389,399.455,249.04,9,43,167,130.664,455.307,296.476
2,26,93,62.978,301.117,240.752,3,30,107,94.81,349.612,276.645
112,588,2790,83.049,326.11,227.583,143,692,3292,106.101,383.564,268.468
74,362,1474,89.465,357.121,247.151,96,414,1742,116.768,407.997,292.043
7,45,161,76.032,340.67,194.618,9,49,177,99.325,372.58,213.168
12,58,215,90.541,350.039,230.668,14,65,249,107.5,397.338,268.177
107,570,1966,100.112,389.675,243.657,133,647,2295,124.494,442.436,284.423
57,278,1069,108.449,409.505,264.92,74,315,1283,139.732,463.143,317.993
24,126,468,101.732,371.293,245.792,30,150,572,124.103,440.754,300.116
25,128,417,107.96,397.146,241.938,30,153,516,131.073,474.586,299.075
42,190,897,124.35,442.204,323.754,57,226,1064,168.247,526.956,383.698
31,189,739,84.119,360.278,271.986,40,215,853,107.152,410.597,313.998
10,53,226,97.198,425.118,250.316,12,60,264,121.254,476.497,292.78
35,190,703,76.107,311.457,194.547,42,218,857,90.391,356.955,237.228
38,263,858,76.304,346.738,201.254,52,314,1017,104.995,414.197,238.527
87,433,1656,103.427,397.92,258.701,109,498,1931,128.832,458.633,301.656
41,236,743,97.231,410.054,222.235,53,273,872,124.938,475.739,260.682
24,121,477,96.571,365.74,268.246,31,143,573,121.04,432.938,321.927
53,247,988,109.796,394.773,260.851,70,296,1233,145.683,471.944,325.472
9,42,151,112.372,394.85,239.136,12,52,189,155.942,492.032,300.291
14,75,264,93.578,360.468,240,18,88,316,122.939,421.391,287.115
20,84,417,94.441,339.221,249.704,26,100,480,119.788,404.035,287.756
11,52,198,102.324,391.81,225.345,13,60,241,125.518,451.628,274.048
53,306,1151,75.893,351.291,203.338,69,334,1391,98.078,383.399,245.778
16,82,270,100.552,361.232,219.504,21,97,315,128.212,426.195,256.211
126,778,2584,82.15,343.786,205.471,165,885,2972,107.34,391.349,236.351
67,360,1572,91.557,379.647,267.336,87,414,1865,120.086,436.951,317.154
5,32,94,104.164,363.828,238.563,7,41,114,134.645,463.861,288.734
103,508,1941,109.279,418.514,262.289,133,601,2351,141.104,495.354,317.636
33,169,633,113.15,411.783,281.008,40,199,790,137.837,485.604,350.703
30,145,621,103.206,375.094,247.755,44,174,741,149.435,450.897,295.646
109,520,2073,111.335,387.177,252.988,136,608,2513,138.438,452.948,306.746
6,45,149,79.283,353.681,219.328,8,53,173,103.014,415.087,254.135
34,177,785,95.164,377.31,273.311,42,208,907,117.751,442.928,315.866
7,36,121,114.266,398.303,241.369,10,45,151,149.371,495.436,301.615
48,246,1163,96.913,394.844,287.081,62,292,1379,124.621,469.764,340.52
173,921,3268,81.707,336.384,225.05,212,1050,3981,100.1,383.627,274.116
14,84,253,53.873,222.921,168.324,17,94,282,67.168,249.434,188.042
4,26,89,87.33,380.207,212.855,6,30,111,126.566,442.816,265.811
